trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
536573836,42,10/1/2022 1:29,10/1/2022 2:11,3212,39.963829,-75.18177,3273,40.007729,-75.191963,2682,365,One Way,Indego365,standard
536546936,9,10/1/2022 1:30,10/1/2022 1:39,3205,39.954048,-75.167831,3077,39.972069,-75.163513,21012,30,One Way,Indego30,electric
536630250,167,10/1/2022 1:35,10/1/2022 4:22,3206,39.95174,-75.170631,3101,39.942951,-75.159554,22045,30,One Way,Indego30,electric
536564334,30,10/1/2022 1:39,10/1/2022 2:09,3257,39.9216,-75.150002,3064,39.9384,-75.173271,22515,30,One Way,Indego30,electric
536546934,5,10/1/2022 1:39,10/1/2022 1:44,3066,39.94561,-75.173477,3114,39.937752,-75.180122,3343,365,One Way,Indego365,standard
536546932,6,10/1/2022 1:41,10/1/2022 1:47,3004,39.953781,-75.163742,3206,39.95174,-75.170631,22554,1,One Way,Day Pass,electric
536554228,17,10/1/2022 1:44,10/1/2022 2:01,3010,39.947109,-75.166183,3254,39.980911,-75.160652,23002,30,One Way,Indego30,electric
536546929,7,10/1/2022 1:48,10/1/2022 1:55,3010,39.947109,-75.166183,3064,39.9384,-75.173271,12987,30,One Way,Indego30,standard
536546927,7,10/1/2022 1:48,10/1/2022 1:55,3010,39.947109,-75.166183,3064,39.9384,-75.173271,14655,30,One Way,Indego30,standard
536546925,3,10/1/2022 1:50,10/1/2022 1:53,3188,39.904709,-75.173401,3188,39.904709,-75.173401,3483,30,Round Trip,Indego30,standard
536546924,3,10/1/2022 1:50,10/1/2022 1:53,3188,39.904709,-75.173401,3188,39.904709,-75.173401,11708,30,Round Trip,Indego30,standard
536564326,13,10/1/2022 1:57,10/1/2022 2:10,3010,39.947109,-75.166183,3053,39.932308,-75.181541,14669,365,One Way,Indego365,standard
536564325,4,10/1/2022 2:02,10/1/2022 2:06,3206,39.95174,-75.170631,3190,39.948921,-75.169907,22554,365,One Way,Indego365,electric
536574330,27,10/1/2022 2:02,10/1/2022 2:29,3045,39.947922,-75.162369,3261,39.963039,-75.140991,23589,30,One Way,Indego30,electric
536574125,13,10/1/2022 2:05,10/1/2022 2:18,3010,39.947109,-75.166183,3102,39.96759,-75.17952,18603,30,One Way,Indego30,electric
536574328,20,10/1/2022 2:07,10/1/2022 2:27,3182,39.950809,-75.169533,3073,39.96143,-75.15242,3403,30,One Way,Indego30,standard
536564324,1,10/1/2022 2:08,10/1/2022 2:09,3124,39.953671,-75.139557,3124,39.953671,-75.139557,2579,30,Round Trip,Indego30,standard
536574225,8,10/1/2022 2:15,10/1/2022 2:23,3046,39.950119,-75.144722,3101,39.942951,-75.159554,14681,30,One Way,Indego30,standard
536574224,5,10/1/2022 2:15,10/1/2022 2:20,3030,39.93935,-75.157158,3203,39.940769,-75.172272,22754,365,One Way,Indego365,electric
536574626,24,10/1/2022 2:17,10/1/2022 2:41,3279,39.926498,-75.166801,3271,39.947601,-75.229462,23646,30,One Way,Indego30,electric
536574324,8,10/1/2022 2:20,10/1/2022 2:28,3062,39.951969,-75.179428,3248,39.942131,-75.18335,14503,30,One Way,Indego30,standard
536574624,10,10/1/2022 2:34,10/1/2022 2:44,3046,39.950119,-75.144722,3063,39.946331,-75.1698,22306,30,One Way,Indego30,electric
536582626,21,10/1/2022 2:40,10/1/2022 3:01,3261,39.963039,-75.140991,3098,39.934311,-75.160423,18307,365,One Way,Indego365,electric
536574724,4,10/1/2022 2:43,10/1/2022 2:47,3203,39.940769,-75.172272,3190,39.948921,-75.169907,22754,365,One Way,Indego365,electric
536574924,10,10/1/2022 2:48,10/1/2022 2:58,3202,39.95134,-75.16758,3009,39.955761,-75.189819,23133,30,One Way,Indego30,electric
536593324,11,10/1/2022 2:54,10/1/2022 3:05,3207,39.954411,-75.192001,3204,39.964371,-75.165817,23387,30,One Way,Indego30,electric
536602024,2,10/1/2022 3:09,10/1/2022 3:11,3077,39.972069,-75.163513,3211,39.971722,-75.170601,21012,30,One Way,Indego30,electric
536630125,38,10/1/2022 3:38,10/1/2022 4:16,3066,39.94561,-75.173477,3275,39.975761,-75.121567,18755,30,One Way,Indego30,electric
536602824,4,10/1/2022 3:50,10/1/2022 3:54,3063,39.946331,-75.1698,3203,39.940769,-75.172272,12970,365,One Way,Indego365,standard
536630324,5,10/1/2022 4:25,10/1/2022 4:30,3010,39.947109,-75.166183,3033,39.95005,-75.156723,23542,30,One Way,Indego30,electric
536630524,12,10/1/2022 4:26,10/1/2022 4:38,3158,39.925522,-75.169037,3182,39.950809,-75.169533,22269,365,One Way,Indego365,electric
